Date,Ask,Bid,Mid,Spread,without prompt,with prompt
2023-01-11 22:00:00,6.7659,6.7653,6.7656,0.0003,0,0
2023-01-11 21:59:00,6.766,6.7654,6.7657,0.0003,0,0
2023-01-11 21:58:00,6.7656,6.7651,6.76535,0.00025,0,0
2023-01-11 21:57:00,6.7652,6.7647,6.76495,0.00025,0,0
2023-01-11 21:56:00,6.7649,6.7643,6.7646,0.0003,0,0
2023-01-11 21:55:00,6.7647,6.7642,6.76445,0.00025,0,0
2023-01-11 21:54:00,6.7645,6.764,6.76425,0.00025,0,0
2023-01-11 21:53:00,6.7641,6.7634,6.76375,0.00035,0,0
2023-01-11 21:52:00,6.7637,6.7632,6.76345,0.00025,0,0
2023-01-11 21:51:00,6.7636,6.7631,6.76335,0.00025,0,0
2023-01-11 21:50:00,6.7636,6.7629,6.76325,0.00035,0,0
2023-01-11 21:49:00,6.7642,6.7636,6.7639,0.0003,0,0
2023-01-11 21:48:00,6.7636,6.7629,6.76325,0.00035,0,0
2023-01-11 21:47:00,6.7636,6.763,6.7633,0.0003,0,0
2023-01-11 21:46:00,6.7639,6.7632,6.76355,0.00035,0,0
2023-01-11 21:45:00,6.7639,6.7633,6.7636,0.0003,0,0
2023-01-11 21:44:00,6.7644,6.7638,6.7641,0.0003,0,0
2023-01-11 21:43:00,6.7649,6.7642,6.76455,0.00035,0,0
2023-01-11 21:42:00,6.7656,6.7651,6.76535,0.00025,0,0
2023-01-11 21:41:00,6.7661,6.7655,6.7658,0.0003,0,0
2023-01-11 21:40:00,6.7657,6.765,6.76535,0.00035,0,0
2023-01-11 21:39:00,6.7664,6.7657,6.76605,0.00035,0,0
2023-01-11 21:38:00,6.7665,6.7659,6.7662,0.0003,0,0
2023-01-11 21:37:00,6.766,6.7653,6.76565,0.00035,0,0
2023-01-11 21:36:00,6.766,6.7654,6.7657,0.0003,0,0
2023-01-11 21:35:00,6.7656,6.765,6.7653,0.0003,0,0
2023-01-11 21:34:00,6.7659,6.7653,6.7656,0.0003,0,0
2023-01-11 21:33:00,6.7657,6.7651,6.7654,0.0003,0,0
2023-01-11 21:32:00,6.7666,6.766,6.7663,0.0003,0,0
2023-01-11 21:31:00,6.7668,6.7661,6.76645,0.00035,0,0
2023-01-11 21:30:00,6.765,6.7644,6.7647,0.0003,0,0
2023-01-11 21:29:00,6.766,6.7653,6.76565,0.00035,0,0
2023-01-11 21:28:00,6.7663,6.7656,6.76595,0.00035,0,0
2023-01-11 21:27:00,6.768,6.7675,6.76775,0.00025,0,0
2023-01-11 21:26:00,6.7679,6.7671,6.7675,0.0004,0,0
2023-01-11 21:25:00,6.7676,6.7668,6.7672,0.0004,0,0
2023-01-11 21:24:00,6.7659,6.7652,6.76555,0.00035,0,0
2023-01-11 21:23:00,6.768,6.7674,6.7677,0.0003,0,0
2023-01-11 21:22:00,6.7681,6.7675,6.7678,0.0003,0,0
2023-01-11 21:21:00,6.7678,6.7671,6.76745,0.00035,0,0
2023-01-11 21:20:00,6.767,6.7663,6.76665,0.00035,0,0
2023-01-11 21:19:00,6.7674,6.7667,6.76705,0.00035,0,0
2023-01-11 21:18:00,6.7676,6.767,6.7673,0.0003,0,0
2023-01-11 21:17:00,6.7675,6.7669,6.7672,0.0003,0,0
2023-01-11 21:16:00,6.766,6.7655,6.76575,0.00025,0,0
2023-01-11 21:15:00,6.7658,6.7653,6.76555,0.00025,0,0
2023-01-11 21:14:00,6.7656,6.765,6.7653,0.0003,0,0
2023-01-11 21:13:00,6.7656,6.765,6.7653,0.0003,0,0
2023-01-11 21:12:00,6.7656,6.7651,6.76535,0.00025,0,0
2023-01-11 21:11:00,6.7646,6.764,6.7643,0.0003,0,0
2023-01-11 21:10:00,6.7646,6.764,6.7643,0.0003,0,0
2023-01-11 21:09:00,6.7649,6.7643,6.7646,0.0003,0,0
2023-01-11 21:08:00,6.7643,6.7636,6.76395,0.00035,0,0
2023-01-11 21:07:00,6.7647,6.7639,6.7643,0.0004,0,0
2023-01-11 21:06:00,6.7663,6.7656,6.76595,0.00035,0,0
2023-01-11 21:05:00,6.7664,6.7657,6.76605,0.00035,0,0
2023-01-11 21:04:00,6.7659,6.7654,6.76565,0.00025,0,0
2023-01-11 21:03:00,6.7656,6.765,6.7653,0.0003,0,0
2023-01-11 21:02:00,6.7656,6.7649,6.76525,0.00035,0,0
2023-01-11 21:01:00,6.7656,6.765,6.7653,0.0003,0,0
2023-01-11 21:00:00,6.7645,6.7639,6.7642,0.0003,0,0
2023-01-11 20:59:00,6.7644,6.7636,6.764,0.0004,0,0
2023-01-11 20:58:00,6.7634,6.7627,6.76305,0.00035,0,0
2023-01-11 20:57:00,6.7632,6.7623,6.76275,0.00045,0,0
2023-01-11 20:56:00,6.7633,6.7626,6.76295,0.00035,0,0
2023-01-11 20:55:00,6.7639,6.7632,6.76355,0.00035,0,0
2023-01-11 20:54:00,6.7638,6.7632,6.7635,0.0003,0,0
2023-01-11 20:53:00,6.7645,6.7639,6.7642,0.0003,0,0
2023-01-11 20:52:00,6.7649,6.7642,6.76455,0.00035,0,0
2023-01-11 20:51:00,6.766,6.7654,6.7657,0.0003,0,0
2023-01-11 20:50:00,6.7669,6.7662,6.76655,0.00035,0,0
2023-01-11 20:49:00,6.766,6.7653,6.76565,0.00035,0,0
2023-01-11 20:48:00,6.765,6.7644,6.7647,0.0003,0,0
2023-01-11 20:47:00,6.7658,6.765,6.7654,0.0004,0,0
2023-01-11 20:46:00,6.7665,6.7658,6.76615,0.00035,0,0
2023-01-11 20:45:00,6.7659,6.7652,6.76555,0.00035,0,0
2023-01-11 20:44:00,6.7677,6.7669,6.7673,0.0004,0,0
2023-01-11 20:43:00,6.7675,6.7667,6.7671,0.0004,0,0
2023-01-11 20:42:00,6.7694,6.7687,6.76905,0.00035,0,0
2023-01-11 20:41:00,6.7703,6.7695,6.7699,0.0004,0,0
2023-01-11 20:40:00,6.7687,6.7679,6.7683,0.0004,0,0
2023-01-11 20:39:00,6.7648,6.7641,6.76445,0.00035,0,0
2023-01-11 20:38:00,6.7648,6.764,6.7644,0.0004,0,0
2023-01-11 20:37:00,6.7648,6.764,6.7644,0.0004,0,0
2023-01-11 20:36:00,6.7651,6.7643,6.7647,0.0004,0,0
2023-01-11 20:35:00,6.7644,6.7635,6.76395,0.00045,0,0
2023-01-11 20:34:00,6.7649,6.7639,6.7644,0.0005,0,0
2023-01-11 20:33:00,6.764,6.763,6.7635,0.0005,0,0
2023-01-11 20:32:00,6.7611,6.7602,6.76065,0.00045,0,0
2023-01-11 20:31:00,6.7637,6.7629,6.7633,0.0004,0,0
2023-01-11 20:30:00,6.7646,6.7637,6.76415,0.00045,0,0
2023-01-11 20:29:00,6.7642,6.7632,6.7637,0.0005,0,0
2023-01-11 20:28:00,6.7636,6.7628,6.7632,0.0004,0,0
2023-01-11 20:27:00,6.7634,6.7626,6.763,0.0004,0,0
2023-01-11 20:26:00,6.7628,6.762,6.7624,0.0004,0,0
2023-01-11 20:25:00,6.7627,6.7619,6.7623,0.0004,0,0
2023-01-11 20:24:00,6.7624,6.7616,6.762,0.0004,0,0
2023-01-11 20:23:00,6.7632,6.7625,6.76285,0.00035,0,0
2023-01-11 20:22:00,6.7622,6.7614,6.7618,0.0004,0,0
2023-01-11 20:21:00,6.7619,6.7612,6.76155,0.00035,0,0
2023-01-11 20:20:00,6.7613,6.7605,6.7609,0.0004,0,0
2023-01-11 20:19:00,6.7612,6.7605,6.76085,0.00035,0,0
2023-01-11 20:18:00,6.7613,6.7605,6.7609,0.0004,0,0
2023-01-11 20:17:00,6.76,6.7592,6.7596,0.0004,0,0
2023-01-11 20:16:00,6.7598,6.7589,6.75935,0.00045,0,0
2023-01-11 20:15:00,6.76,6.759,6.7595,0.0005,0,0
2023-01-11 20:14:00,6.7612,6.7598,6.7605,0.0007,0,0
2023-01-11 20:13:00,6.7593,6.7583,6.7588,0.0005,0,0
2023-01-11 20:12:00,6.7587,6.7579,6.7583,0.0004,0,0
2023-01-11 20:11:00,6.7591,6.7583,6.7587,0.0004,0,0
2023-01-11 20:10:00,6.7591,6.7582,6.75865,0.00045,0,0
2023-01-11 20:09:00,6.7574,6.7566,6.757,0.0004,0,0
2023-01-11 20:08:00,6.7572,6.7563,6.75675,0.00045,0,0
2023-01-11 20:07:00,6.7559,6.755,6.75545,0.00045,0,0
2023-01-11 20:06:00,6.7562,6.7552,6.7557,0.0005,0,0
2023-01-11 20:05:00,6.7583,6.7575,6.7579,0.0004,0,0
2023-01-11 20:04:00,6.759,6.7581,6.75855,0.00045,0,0
2023-01-11 20:03:00,6.759,6.7582,6.7586,0.0004,0,0
2023-01-11 20:02:00,6.7575,6.7567,6.7571,0.0004,0,0
2023-01-11 20:01:00,6.7577,6.7568,6.75725,0.00045,0,0
